item_name,stockwerk,gang_nummer,blocknummer
Acacia Pressure Plate,1,east,R6
Acacia Button,1,east,R5
Dark Oak Log,1,east,R5
Dark Oak Wood,1,east,R5
Stripped Dark Oak Log,1,east,R5
Stripped Dark Oak Wood,1,east,R5
Dark Oak Planks,1,east,R5
Dark Oak Stairs,1,east,R5
Dark Oak Slab,1,east,R5
Dark Oak Fence,1,east,R5
Dark Oak Fence Gate,1,east,R5
Dark Oak Door,1,east,R5
Dark Oak Trapdoor,1,east,R5
Dark Oak Pressure Plate,1,east,R4
Dark Oak Button,1,east,R4
Mangrove Log,1,east,R4
Mangrove Wood,1,east,R4
Stripped Mangrove Log,1,east,R4
Stripped Mangrove Wood,1,east,R4
Mangrove Planks,1,east,R4
Mangrove Stairs,1,east,R4
Mangrove Slab,1,east,R4
Mangrove Fence,1,east,R4
Mangrove Fence Gate,1,east,R4
Mangrove Door,1,east,R4
Mangrove Trapdoor,1,east,R3
Mangrove Pressure Plate,1,east,R3
Mangrove Button,1,east,R3
Mangrove Roots,1,east,R3
Muddy Mangrove Roots,1,east,R3
Cherry Log,1,east,R3
Cherry Wood,1,east,R3
Stripped Cherry Log,1,east,R3
Stripped Cherry Wood,1,east,R3
Cherry Planks,1,east,R3
Cherry Stairs,1,east,R3
Cherry Slab,1,east,R3
Cherry Fence,1,east,R2
Cherry Fence Gate,1,east,R2
Cherry Door,1,east,R2
Cherry Trapdoor,1,east,R2
Cherry Pressure Plate,1,east,R2
Cherry Button,1,east,R2
Warped Stem,1,east,R2
Warped Hyphae,1,east,R2
Stripped Warped Stem,1,east,R2
Stripped Warped Hyphae,1,east,R2
Warped Planks,1,east,R2
Warped Stairs,1,east,R2
Warped Slab,1,east,R1
Warped Fence,1,east,R1
Warped Fence Gate,1,east,R1
Warped Door,1,east,R1
Warped Trapdoor,1,east,R1
Warped Pressure Plate,1,east,R1
Warped Button,1,east,R1
Crimson Stem,1,east,R1
Crimson Hyphae,1,east,R1
Stripped Crimson Stem,1,east,R1
Stripped Crimson Hyphae,1,east,R1
Crimson Planks,1,east,R1
Crimson Stairs,1,south,L1
Crimson Slab,1,south,L1
Crimson Fence,1,south,L1
Crimson Fence Gate,1,south,L1
Crimson Door,1,south,L1
Crimson Trapdoor,1,south,L1
Crimson Pressure Plate,1,south,L1
Crimson Button,1,south,L1
Bamboo,1,south,L1
Block of Bamboo,1,south,L1
Block of Stripped Bamboo,1,south,L1
Bamboo Planks,1,east,L1
Bamboo Stairs,1,south,L2
Bamboo Slab,1,south,L2
Bamboo Moasaic,1,south,L2
Bamboo Moasaic Stairs,1,south,L2
Bamboo Moasaic Slab,1,south,L2
Bamboo Fence,1,south,L2
Bamboo Fence Gate,1,south,L2
Bamboo Door,1,south,L2
Bamboo Trapdoor,1,south,L2
Bamboo Pressure Plate,1,south,L2
Bamboo Button,1,south,L2
Stick,1,south,L2
Ladder,1,south,L2
Scaffolding,1,south,L2
Coal,1,south,L3
Coal Ore,1,south,L3
Deepslate Coal Ore,1,south,L3
Block of Coal,1,south,L3
Iron Ingot,1,south,L3
Raw Iron,1,south,L3
Block of Raw Iron,1,south,L3
Iron Ore,1,south,L3
Deepslate Iron Ore,1,south,L3
Iron Nugget,1,south,L3
Block of Iron,1,south,L3
Heavy Weighted Pressure Plate,1,south,L3
Iron Door,1,south,L4
Iron Trapdoor,1,south,L4
Iron Bars,1,south,L4
Gold Ingot,1,south,L4
Raw Gold,1,south,L4
Block of Raw Gold,1,south,L4
Gold Ore,1,south,L4
Deepslate Gold Ore,1,south,L4
Gold Nugget,1,south,L4
Block of Gold,1,south,L4
Light Weighted Pressure Plate,1,south,L4
Emerald,1,south,L4
Emerald Ore,1,south,L5
Deepslate Emerald Ore,1,south,L5
Block of Emerald,1,south,L5
Lapis Lazuli,1,south,L5
Lapis Lazuli Ore,1,south,L5
Deepslate Lapis Lazuli Ore,1,south,L5
Block of Lapis Lazuli,1,south,L5
Diamond,1,south,L5
Diamond Ore,1,south,L5
Deepslate Diamond Ore,1,south,L5
Block of Diamond,1,south,L5
Netherite Ingot,1,south,L5
Netherite Scrap,1,south,L6
Ancient Debris,1,south,L6
Block of Netherite,1,south,L6
Copper Ingot,1,south,L6
Raw Copper,1,south,L6
Copper Ore,1,south,L6
Deepslate Copper Ore,1,south,L6
Block of Raw Copper,1,south,L6
Flint,1,south,L6
Heavy Core,1,south,L6
Nether Star,1,south,L6
Dragon's Breath,1,south,L6
Smithing Template Nethite Upgrade,1,south,L7
Smithing Template Sentry Armor Trim,1,south,L7
Smithing Template Vex Armor Trim,1,south,L7
Smithing Template Coast Armor Trim,1,south,L7
Smithing Template Wayfinder Armor Trim,1,south,L7
Smithing Template Shaper Armor Trim,1,south,L7
Smithing Template Host Armor Trim,1,south,R7
Smithing Template Raiser Armor Trim,1,south,R7
Smithing Template Eye Armor Trim,1,south,R7
Smithing Template Flow Armor Trim,1,south,R7
Smithing Template Spire Armor Trim,1,south,R7
Smithing Template Snout Armor Trim,1,south,R7
Smithing Template Tide Armor Trim,1,south,R6
Smithing Template Silence Armor Trim,1,south,R6
Smithing Template Wild Armor Trim,1,south,R6
Smithing Template Rib Armor Trim,1,south,R6
Smithing Template Ward Armor Trim,1,south,R6
Smithing Template Dune Armor Trim,1,south,R6
Smithing Template Bolt Armor Trim,1,south,R6
Redstone Dust,1,south,R6
Redstone Ore,1,south,R6
Deepslate Redstone Ore,1,south,R6
Block of Redstone,1,south,R6
Honey Block,1,south,R6
Slime Block,1,south,R5
Redstone Torch,1,south,R5
Redstone Lamp,1,south,R5
Redstone Repeater,1,south,R5
Redstone Comperator,1,south,R5
Target,1,south,R5
Lever,1,south,R5
Tripwire Hook,1,south,R5
Daylight Detector,1,south,R5
Piston,1,south,R5
Sticky Piston,1,south,R5
Dispenser,1,south,R5
Dropper,1,south,R4
Crafter,1,south,R4
Hopper,1,south,R4
Observer,1,south,R4
Rail,1,south,R4
Powered Rail,1,south,R4
Activator Rail,1,south,R4
Detector Rail,1,south,R4
TNT,1,south,R4
Mud,1,south,R4
Packed Mud,1,south,R4
Mud Bricks,1,south,R4
Mud Brick Stairs,1,south,R3
Mud Brick Slab,1,south,R3
Mud Brick Wall,1,south,R3
Sand,1,south,R3
Sandstone,1,south,R3
Sandstone Stairs,1,south,R3
Sandstone Slab,1,south,R3
Sandstone Wall,1,south,R3
Chiseled Sandstone,1,south,R3
Cut Sandstone,1,south,R3
Cut Sandstone Slab,1,south,R2
Smooth Sandstone,1,south,R2
Smooth Sandstone Stairs,1,south,R2
Smooth Sandstone Slab,1,south,R2
Red Sand,1,south,R2
Red Sandstone,1,south,R2
Red Sandstone Stairs,1,south,R2
Red Sandstone Slab,1,south,R2
Red Sandstone Wall,1,south,R2
Chiseled Red Sandstone,1,south,R2
Cut Red Sandstone,1,south,R2
Cut Red Sandstone Slab,1,south,R2
Smooth Red Sandstone,1,south,R1
Smooth Red Sandstone Stairs,1,south,R1
Smooth Red Sandstone Slab,1,south,R1
Glass,1,south,R1
Glass Pane,1,south,R1
Tinted Glass,1,south,R1
White Stained Glass,1,south,R1
Light Gray Stained Glass,1,south,R1
Gray Stained Glass,1,south,R1
Black Stained Glass,1,1south,R1
Brown Stained Glass,1,west,L1
Red Stained Glass,1,west,L1
Orange Stained Glass,1,west,L1
Yellow Stained Glass,1,west,L1
Lime Stained Glass,1,west,L1
Green Stained Glass,1,west,L1
Cyan Stained Glass,1,west,L1
Light Blue Stained Glass,1,west,L1
Blue Stained Glass,1,west,L1
Purple Stained Glass,1,west,L1
Magenta Stained Glass,1,west,L1
Pink Stained Glass,1,west,L1
White Stained Glass Pane,1,west,L2
Light Gray Stained Glass Pane,1,west,L2
Gray Stained Glass Pane,1,west,L2
Black Stained Glass Pane,1,west,L2
Brown Stained Glass Pane,1,west,L2
Red Stained Glass Pane,1,west,L2
Orange Stained Glass Pane,1,west,L2
Yellow Stained Glass Pane,1,west,L2
Lime Stained Glass Pane,1,west,L2
Green Stained Glass Pane,1,west,L2
Cyan Stained Glass Pane,1,west,L2
Light Blue Stained Glass Pane,1,west,L2
Blue Stained Glass Pane,1,west,L3
Purple Stained Glass Pane,1,west,L3
Magenta Stained Glass Pane,1,west,L3
Pink Stained Glass Pane,1,west,L3
Dirt,1,west,L3
Grass Block,1,west,L3
Mycelium,1,west,L3
Podzol,1,west,L3
Coarse Dirt,1,west,L3
Rooted Dirt,1,west,L4
Gravel,1,west,L4
Ice,1,west,L4
Packed Ice,1,west,L4
Blue Ice,1,west,L4
Snow Block,1,west,L4
Wither Skeleton Skull,1,west,L4
Rotten Flesh,1,west,L4
Dragon Head,1,west,L5
Bone,1,west,L5
Bone Block,1,west,L5
Bone Meal,1,west,L5
String,1,west,L5
Cobweb,1,west,L5
Slimeball,1,west,L5
Magma Creame,1,west,L5
Blaze Rod,1,west,L5
Blaze Powder,1,west,L5
Breeze Rod,1,west,L5
Wind Charge,1,west,L5
Eye of Ender,1,west,L6
Shulker Shell,1,west,L6
Popped Chorus Fruit,1,west,L6
Gunpowder,1,west,L6
Spider Eye,1,west,L6
Fermented Spider Eye,1,west,L6
Ghast Tear,1,west,L6
Phantom Membrane,1,west,L6
White Wool,1,west,L6
Light Gray Wool,1,west,L6
Gray Wool,1,west,L6
Black Wool,1,west,L6
Brown Wool,1,west,L7
Red Wool,1,west,L7
Orange Wool,1,west,L7
Yellow Wool,1,west,L7
Lime Wool,1,west,R7
Green Wool,1,west,R7
Cyan Wool,1,west,R7
Light Blue Wool,1,west,R7
Blue Wool,1,west,R6
Purple Wool,1,west,R6
Magenta Wool,1,west,R6
Pink Wool,1,west,R6
White Carpet,1,west,R6
Light Gray Carpet,1,west,R6
Gray Carpet,1,west,R6
Black Carpet,1,west,R6
Brown Carpet,1,west,R6
Red Carpet,1,west,R6
Orange Carpet,1,west,R6
Yellow Carpet,1,west,R6
Lime Carpet,1,west,R5
Green Carpet,1,west,R5
Cyan Carpet,1,west,R5
Light Blue Carpet,1,west,R5
Blue Carpet,1,west,R5
Purple Carpet,1,west,R5
Magenta Carpet,1,west,R5
Pink Carpet,1,west,R5
Feather,1,west,R5
Leather,1,west,1,R5
Rabbit Hide,1,west,R5
Rabbit's Foot,1,west,R5
Honeycomd,1,west,R4
Honeycomb Block,1,west,R4
Ink Sac,1,west,R4
Glow Inc Sac,1,west,R4
Turtle Scute,1,west,R4
Armadillo Scute,1,west,R4
Nautilus Shell,1,west,R4
Turtle Egg,1,west,R4
Sniffer Egg,1,west,R4
Beehive,1,west,R4
Ochre Froglight,1,west,R4
Verdant Froglight,1,west,R4
Pearlescent Froglight,1,west,R3
Wheat,1,west,R3
Apple,1,west,R3
Golden Apple,1,west,R3
Enchanted Golden Apple,1,west,R3
Melon,1,west,R3
Melon Slice,1,west,R3
Glistering Melon Slice,1,west,R3
Opstsalat,1,west,R3
Glow Berries,1,west,R3
Chorus Fruit,1,west,R3
Carrot,1,west,R3
Golden Carrot,1,west,R2
Potato,1,west,R2
Baked Potato,1,west,R2
Poisonous Potato,1,west,R2
Beetroot,1,west,R2
Dreid Kelp,1,west,R2
Bread,1,west,R2
Sugar,1,west,R2
Cookie,1,west,R2
Pumpkin Pie,1,west,R2
Bowl,1,west,R2
Raw Beef,1,west,R2
Steak,1,west,R1
Raw Porkchop,1,west,R1
Cooked Porkchop,1,west,R1
Raw Mutton,1,west,R1
Cooked Mutton,1,west,R1
Raw Chicken,1,west,R1
Cooked Chicken,1,west,R1
Raw Rabbit,1,west,R1
Cooked Rabbit,1,west,R1
Raw Cod,1,west,R1
Cooked Cod,1,west,R1
Raw Salmon,1,west,R1
Cooked Salmon,2,north,L1
Tropical Fish,2,north,L1
Pufferfish,2,north,L1
Oak Sapling,2,north,L1
Birch Sapling,2,north,L1
Spruce Sapling,2,north,L1
Jungle Sapling,2,north,L1
Acacia Sapling,2,north,L1
Dark Oak Sapling,2,north,L1
Mangrove Propagule,2,north,L1
Cherry Sapling,2,north,L1
Warped Fungus,2,north,L1
Crimson Fungus,2,north,L2
Oak Leaves,2,north,L2
Birch Leaves,2,north,L2
Spruce Leaves,2,north,L2
Jungle Leaves,2,north,L2
Acacia Leaves,2,north,L2
Dark Oak Leaves,2,north,L2
Mangrove Leaves,2,north,L2
Cherry Leaves,2,north,L2
Azalea Leaves,2,north,L2
Flowering Azalea Leaves,2,north,L2
Warped Ward Block,2,north,L2
Warped Roots,2,north,L3
Nether Sprouts,2,north,L3
Twisted Vines,2,north,L3
Crimson Roots,2,north,L3
Weeping Vines,2,north,L3
Nether Wart Block,2,north,L3
Shroomlight,2,north,L3
Brown Mushroom,2,north,L3
Red Mushroom,2,north,L3
Mushroom Stem,2,north,L3
Brown Mushroom,2,north,L3
Red Mushroom Block,2,north,L3
Moss Carpet,2,north,L4
Moss Block,2,north,L4
Azalea,2,north,L4
Flowering Azalea,2,north,L4
Short Grass,2,north,L4
Fern,2,north,L4
Dead Bush,2,north,L4
Dandelion,2,north,L4
Poppy,2,north,L4
Blue Orchid,2,north,L4
Allium,2,north,L4
Azure Bluete,2,north,L4
Red Tulip,2,north,L5
Orange Tulip,2,north,L5
White Tulip,2,north,L5
Pink Tulip,2,north,L5
Oxeye Daisy,2,north,L5
Cornflower,2,north,L5
Lily of the Valley,2,north,L5
Sunflower,2,north,L5
Lilac,2,north,L5
Rose Bush,2,north,L5
Peony,2,north,L5
Wither Rose,2,north,L5
Pink Petals,2,north,L6
Torchflower Seeds,2,north,L6
Pitcher Pod,2,north,L6
Torchflower,2,north,L6
Pitcher Plant,2,north,L6
Spore Blossom,2,north,L6
Sugar Cane,2,north,L6
Cactus,2,north,L6
Vines,2,north,L6
Small Dripleaf,2,north,L6
Big Dripleaf,2,north,L6
Chorus Flower,2,north,L6
Glow Lichen,2,north,L7
Hanging Roots,2,north,L7
Wheat Seeds,2,north,L7
Cocoa Beans,2,north,L7
Glow Item Fram,2,north,R1
Painting,2,north,R1
Decorated Pod,2,north,R1
Item Frame,2,north,R1
Bell,2,north,R1
Lightning Rod,2,north,R1
Campfire,2,north,R1
Soul Campfire,2,north,R1
Lantern,2,north,R1
Soul Lantern,2,north,R1
Torch,2,north,R1
Soul Torch,2,north,R1
Magenta Candle,2,north,R2
Pink Candle,2,north,R2
Blue Candle,2,north,R2
Purple Candle,2,north,R2
Cyan Candle,2,north,R2
Light Blue Candle,2,north,R2
Lime Candle,2,north,R2
Green Candle,2,north,R2
Orange Candle,2,north,R2
Yellow Candle,2,north,R2
Brown Candle,2,north,R2
Red Candle,2,north,R2
Gray Candle,2,north,R3
Black Candle,2,north,R3
White Candle,2,north,R3
Light Gray Candle,2,north,R3
Chain,2,north,R3
Candle,2,north,R3
Hay Bale,2,north,R3
Flower Pot,2,north,R3
Carved Pumpkin,2,north,R3
Jack o'Lantern,2,north,R3
Wet Sponge,2,north,R3
Pumpkin,2,north,R3
Dead Horn Coral Fan,2,north,R4
Sponge,2,north,R4
Dead Horn Coral Block,2,north,R4
Dead Horn Coral,2,north,R4
Horn Coral,2,north,R4
Horn Coral Fan,2,north,R4
Dead Fire Coral Fan,2,north,R4
Horn Coral Block,2,north,R4
Dead Fire Coral Block,2,north,R4
Dead Fire Coral,2,north,R4
Fire Coral,2,north,R4
Fire Coral Fan,2,north,R4
Dead Bubble Coral Fan,2,north,R5
Fire Coral Block,2,north,R5
Dead Bubble Coral Block,2,north,R5
Dead Bubble Coral,2,north,R5
Bubble Coral,2,north,R5
Bubble Coral Fan,2,north,R5
Dead Brain Coral Fan,2,north,R5
Bubble Coral Block,2,north,R5
Dead Brain Coral Block,2,north,R5
Dead Brain Coral,2,north,R5
Brain Coral,2,north,R5
Brain Coral Fan,2,north,R5
Dead Tube Coral Fan,2,north,R6
Brain Coral Block,2,north,R6
Dead Tube Coral Block,2,north,R6
Dead Tube Coral,2,north,R6
Tube Coral,2,north,R6
Tube Coral Fan,2,north,R6
Dried Kelp Block,2,north,R6
Tube Coral Block,2,north,R6
See Pickel,2,north,R6
Kelp,2,north,R6
Lily Pad,2,north,R6
Seagrass,2,north,R6
Beetroot Seeds,2,north,R7
Nether Wart,2,north,R7
Pumpkin Seeds,2,north,R7
Melon Seeds,2,north,R7
Bookshelf,2,east,L1
Chiseled Bookshelf,2,east,L1
Lectern,2,east,L1
Barrel,2,east,L1
White Dye,2,east,L1
Light Gray Dye,2,east,L1
Gray Dye,2,east,L1
Black Dye,2,east,L1
Brown Dye,2,east,L1
Red,2,east,L1
Orange Dye,2,east,L1
Yellow Dye ,2,east,L1
Lime Dye,2,east,L2
Green Dye,2,east,L2
Cyan Dye,2,east,L2
Light Blue Dye,2,east,L2
Blue Dye,2,east,L2
Purple Dye,2,east,L2
Magenta Dye,2,east,L2
Pink Dye,2,east,L2
Crafting Table,2,east,L2
Stonecutter,2,east,L2
Cartography Table,2,east,L2
Fletching Table,2,east,L2
Smithing Table,2,east,L3
Grindstone,2,east,L3
Loom,2,east,L3
Furnace,2,east,L3
Smoker,2,east,L3
Blast Furnace,2,east,L3
Anvil,2,east,L3
Chipped Anvil,2,east,L3
Damaged Anvil,2,east,L3
Composter,2,east,L3
Note Block,2,east,L3
Juke Box,2,east,L3
Enchanting Table,2,east,L4
End Crystal,2,east,L4
Brewing Stand,2,east,L4
Cauldron,2,east,L4
Beacon,2,east,L4
Conduit,2,east,L4
Loadstone,2,east,L4
Chest,2,east,L4
Ender Chest,2,east,L4
Respawn Anchor,2,east,L4
Netherrack,2,east,L4
Warped Nylium,2,east,L4
Crimson Nylium,2,east,L5
Nether Brick,2,east,L5
Nether Bricks,2,east,L4
Cracked Nether Bricks,2,east,L4
Nether Brick Stairs,2,east,L4
Nether Brick Slab,2,east,L4
Nether Brick Wall,2,east,L4
Nether Brick Fence,2,east,L4
Chiseled Nether Bricks,2,east,L4
Red Nether Bricks,2,east,L4
Red Nether Brick Stairs,2,east,L4
Red Nether Brick Slab,2,east,L4
Red Nether Brick Wall,2,east,L5
Basalt,2,east,L5
Smooth Basalt,2,east,L5
Polished Basalt,2,east,L5
Blackstone,2,east,L5
Gilded Blackstone,2,east,L5
Blackstone Stairs,2,east,L5
Blackstone Slab,2,east,L5
Blackstone Wall,2,east,L5
Polished Blackstone,2,east,L5
Chiseled Polished Blackstone,2,east,L5
Polished Blackstone Stairs,2,east,L5
Polished Blackstone Slab,2,east,L5
Polished Blackstone Wall,2,east,L5
Cut Copper Slab,2,east,R1
Exposed Copper,2,east,R1
Cut Copper,2,east,R1
Cut Copper Stairs,2,east,R1
Copper Trapdoor,2,east,R1
Copper Buld,2,east,R1
Copper Grate,2,east,R1
Copper Door,2,east,R1
Block of Copper,2,east,R1
Chiseled Copper,2,east,R1
Glass Bottle,2,east,R2
Trial Key,2,east,R2
Paper,2,east,R2
Book,2,east,R2
Arrow of Poisonous,2,east,R2
Heart of the Sea,2,east,R2
Spectral Arrow,2,east,R2
Arrow of Slowness,2,east,R2
Firewok Rocket,2,east,R2
Clock,2,east,R3
Empty Map,2,east,R3
Compass,2,east,R3
Recovery Compass,2,east,R3
Name Tag,2,east,R3
Lead,2,east,R3
Disc Fragment,2,east,R3
Fire Charge,2,east,R3
Calibrated Sculk Sensor,2,east,R3
Echo Shard,2,east,R3
Sculk Shrieker,2,east,R3
Sculk Sensor,2,east,R3
Sculk,2,east,R4
Sculk Catalyst,2,east,R4
Purpur Slab,2,east,R4
Sculk Vein,2,east,R4
Purpur Pillar,2,east,R4
Purpur Stairs,2,east,R4
End Rod,2,east,R4
Purpur Block,2,east,R4
End Stone Brick Slab,2,east,R4
End Stone Brick Wall,2,east,R4
End Stone Bricks,2,east,R4
End Stone Brick Stairs,2,east,R4
Glowstone,2,east,R5
End Stone,2,east,R5
Soul Soil,2,east,R5
Glowstone Dust,2,east,R5
Cryan Obsidian,2,east,R5
Soul Sand,2,east,R5
Magma Block,2,east,R5
Obsidian,2,east,R5
Smooth Quartz Stairs,2,east,R5
Smooth Quartz Slab,2,east,R5
Quartz Pillar,2,east,R5
Smooth Quartz Block,2,east,R5
Chiseled Quartz Block,2,east,R6
Quartz Bricks,2,east,R6
